t  [s],z_wf_1  [m]
63.8,-0.5086507
64,-0.5857715
64.2,-0.6536605
64.4,-0.7086828
64.6,-0.7474891
64.8,-0.7672248
65,-0.7657154
65.2,-0.741615
65.4,-0.6945071
65.6,-0.6249514
65.8,-0.5344747
66,-0.4255062
66.2,-0.3012654
66.4,-0.1656096
66.6,-0.02285568
66.8,0.1224143
67,0.2655476
67.2,0.4020067
67.4,0.5275386
67.6,0.6383221
67.8,0.7310927
68,0.8032449
68.2,0.8529112
68.4,0.879018
68.6,0.8813122
68.8,0.860357
69,0.8174889
69.2,0.7547363
69.4,0.6747
69.6,0.5804059
69.8,0.4751389
70,0.3622762
70.2,0.2451325
70.4,0.1268312
70.6,0.01020735
70.8,-0.102255
71,-0.2084525
71.2,-0.3066656
71.4,-0.3955403
71.6,-0.4740538
71.8,-0.5414688
72,-0.5972801
72.2,-0.6411581
72.4,-0.6728924
72.6,-0.6923432
72.8,-0.6994065
73,-0.6939976
73.2,-0.676058
73.4,-0.6455845
73.6,-0.6026767
73.8,-0.5475972
74,-0.48083360000000003
74.2,-0.4031546
74.4,-0.3156517
74.6,-0.2197611
74.8,-0.1172616
75,-0.01025089
75.2,0.09890057
75.4,0.2076131
75.6,0.3131756
75.8,0.4128332
76,0.5038807
76.2,0.5837568
76.4,0.6501366
76.6,0.7010161
76.8,0.7347876
77,0.7503003
77.2,0.7469067
77.4,0.7244912
77.6,0.6834805
77.8,0.6248376
78,0.5500362
78.2,0.4610191
78.4,0.3601393
78.6,0.2500859
78.8,0.1337963
79,0.01435781
79.2,-0.1050956
79.4,-0.2214873
79.6,-0.3318958
79.8,-0.4336396
80,-0.52434480000000006
80.2,-0.6019924
80.4,-0.6649435
80.6,-0.7119451
80.8,-0.7421191
81,-0.7549409
81.2,-0.7502123
81.4,-0.7280351
81.6,-0.6887909
81.8,-0.6331295
82,-0.5619681
82.2,-0.4765019
82.4,-0.3782206
82.6,-0.268929
82.8,-0.15076320000000001
83,-0.02619612
83.2,0.1019749
83.4,0.2306634
83.6,0.3565545
83.8,0.4761916
84,0.5860846
84.2,0.6828339
84.4,0.7632637
84.6,0.8245542
84.8,0.8643679
85,0.8809611
85.2,0.8732767
85.4,0.8410131
85.6,0.7846665
85.8,0.7055411
86,0.6057265
86.2,0.4880389
86.4,0.3559265
86.6,0.2133423
86.8,0.06459046
87,-0.08584515
87.2,-0.2334777
87.4,-0.3739881
87.6,-0.5033787
87.8,-0.6181016
88,-0.7151566
88.2,-0.792159
88.4,-0.8473798
88.6,-0.879761
88.8,-0.8889133
89,-0.875098
89.2,-0.8391977
89.4,-0.7826739
89.6,-0.707513
89.8,-0.6161581
90,-0.5114262
90.2,-0.3964125
90.4,-0.274383
90.6,-0.1486611
90.8,-0.02251506
91,0.1009467
91.2,0.2188651
91.4,0.3286999
91.6,0.4282737
91.8,0.5157927
92,0.5898458
92.2,0.6493871
92.4,0.6937091
92.6,0.7224132
92.8,0.7353838
93,0.7327677
93.2,0.7149626
93.4,0.6826095
93.6,0.6365894
93.8,0.5780169
94,0.5082304
94.2,0.4287738
94.4,0.3413721
94.6,0.2478998
94.8,0.1503448
95,0.05077143
95.2,-0.04871887
95.4,-0.1460249
95.6,-0.2390842
95.8,-0.3259105
96,-0.4046339
96.2,-0.4735401
96.4,-0.5311115
96.6,-0.5760668
96.8,-0.6073978
97,-0.6244026
97.2,-0.6267118
97.4,-0.6143088
97.6,-0.5875402
97.8,-0.5471179
98,-0.4941109
98.2,-0.4299257
98.4,-0.3562745
98.6,-0.2751308
