t,Delta_t,x_wf,y_wf,z_wf,phi_wf,psi_wf,theta_wf,zeta
[s],[s],[m],[m],[m],[rad],[rad],[rad],[m]
10.0,0.2,0.06898136,-0.05119119,0.1133813,0.0019482,0.000265229,-0.006875135,-0.9362709
10.2,0.2,0.07485054,-0.0513873,0.08239771,0.002211945,0.0003324378,-0.007132903,-1.181569
10.4,0.2,0.07917435,-0.05045315,0.04908128,0.002442123,0.0003859619,-0.007273882,-1.328902
10.6,0.2,0.08176483,-0.0483602,0.01418692,0.002641616,0.0004302696,-0.007291956,-1.37905
10.8,0.2,0.082479,-0.04509718,-0.02147053,0.002814064,0.0004700532,-0.007180442,-1.333488
11.0,0.2,0.08123495,-0.04068859,-0.05701134,0.00296123,0.0005085528,-0.006933236,-1.188498
11.2,0.2,0.07802161,-0.03520835,-0.09149364,0.003080443,0.0005462147,-0.006545966,-0.9404154
11.4,0.2,0.07290012,-0.02878386,-0.1239297,0.003162929,0.0005800517,-0.006016979,-0.6001089
11.6,0.2,0.06599655,-0.0215884,-0.1533192,0.003193619,0.0006038942,-0.005348082,-0.2070022
11.8,0.2,0.05748801,-0.01382361,-0.1786975,0.0031527,0.0006094855,-0.004545029,0.1691517
12.0,0.2,0.04758587,-0.005696785,-0.1991947,0.003018685,0.0005881548,-0.003617786,0.4448863
12.2,0.2,0.03652009,0.002600447,-0.2140956,0.002772385,0.0005326574,-0.002580632,0.5535227
12.4,0.2,0.02452815,0.01090607,-0.2228924,0.002400932,0.0004387427,-0.001452115,0.4755478
12.6,0.2,0.01185054,0.01909026,-0.2253206,0.001900945,0.0003061022,-0.0002548759,0.2524641
12.8,0.2,-0.001267752,0.02704626,-0.2213754,0.001280214,0.0001385275,0.0009846961,-0.02542757
13.0,0.2,-0.01457174,0.0346726,-0.2113057,0.0005575651,-5.668065e-05,0.002237022,-0.2538781
13.2,0.2,-0.02779059,0.04185261,-0.1955912,-0.0002389344,-0.0002698271,0.003470159,-0.3566047
13.4,0.2,-0.04063486,0.04843789,-0.1749062,-0.001074988,-0.000490133,0.004650898,-0.3142479
13.6,0.2,-0.05279946,0.05424145,-0.1500765,-0.001913606,-0.0007069092,0.005746128,-0.166416
13.8,0.2,-0.06397313,0.05904358,-0.1220345,-0.002718494,-0.0009103488,0.006724371,0.01353603
14.0,0.2,-0.07385316,0.06260992,-0.09177395,-0.003456746,-0.001091837,0.007557351,0.1574342
14.2,0.2,-0.08216252,0.06471811,-0.06030618,-0.00410057,-0.001243838,0.008221436,0.2346684
14.4,0.2,-0.0886658,0.0651869,-0.02861685,-0.004628012,-0.001359539,0.008698749,0.2619079
14.6,0.2,-0.09318053,0.06390139,0.002375933,-0.005022899,-0.00143248,0.008977802,0.2866067
14.8,0.2,-0.09558202,0.06082899,0.03186106,-0.005274307,-0.001456402,0.009053569,0.3548067
15.0,0.2,-0.09580155,0.05602316,0.05916795,-0.005375911,-0.001425437,0.008926993,0.4815756
15.2,0.2,-0.09381985,0.04961506,0.08379041,-0.005325474,-0.001334675,0.00860404,0.6399571
15.4,0.2,-0.08965867,0.04179583,0.1053971,-0.005124621,-0.001181031,0.008094504,0.7733191
15.6,0.2,-0.08337405,0.03279413,0.1238268,-0.004778906,-0.0009642123,0.007410773,0.8229197
15.8,0.2,-0.07505346,0.0228541,0.1390687,-0.004298051,-0.0006876045,0.006566795,0.7547812
16.0,0.2,-0.0648179,0.01221814,0.1512307,-0.003696172,-0.0003588381,0.005577401,0.571656
16.2,0.2,-0.052828,0.001117522,0.1605011,-0.00299177,1.009777e-05,0.00445804,0.3055242
16.4,0.2,-0.03929159,-0.01022857,0.1671075,-0.002207308,0.000403284,0.00322491,-0.002336856
16.6,0.2,-0.02446989,-0.02160665,0.171279,-0.001368261,0.0008018223,0.001895381,-0.3200545
16.8,0.2,-0.008679451,-0.03279805,0.173213,-0.0005016635,0.001185206,0.0004885722,-0.6311115
17.0,0.2,0.00771176,-0.04356736,0.1730501,0.0003657097,0.001532938,-0.0009740485,-0.9252999
17.2,0.2,0.0242941,-0.05365377,0.1708565,0.001209262,0.001826188,-0.002468141,-1.182927
17.4,0.2,0.04063071,-0.06276874,0.1666152,0.002008252,0.002049264,-0.003966128,-1.365601
17.6,0.2,0.05627467,-0.07060176,0.1602279,0.002746896,0.002190725,-0.005437038,-1.423207
17.8,0.2,0.07078661,-0.07683474,0.1515272,0.00341467,0.002244001,-0.00684664,-1.31627
18.0,0.2,0.08375135,-0.08116385,0.140301,0.004005725,0.002207513,-0.008157928,-1.041981
18.2,0.2,0.09479258,-0.08332585,0.1263277,0.004517559,0.002084315,-0.009332036,-0.6476791
18.4,0.2,0.1035854,-0.08312524,0.1094176,0.004949266,0.001881422,-0.01032963,-0.2207662
18.6,0.2,0.109867,-0.0804581,0.08945677,0.005299769,0.001608961,-0.01111271,0.1435046
18.8,0.2,0.1134446,-0.07532872,0.06644443,0.00556647,0.001279318,-0.01164676,0.3819651
19.0,0.2,0.1142021,-0.06785665,0.04052004,0.005744577,0.0009063815,-0.01190283,0.4909244
19.2,0.2,0.1121025,-0.05827326,0.01197535,0.005827194,0.0005049304,-0.01185957,0.5257714
19.4,0.2,0.1071872,-0.04690875,-0.01874769,0.005806028,9.012288e-05,-0.01150458,0.5712941
19.6,0.2,0.09957247,-0.03417186,-0.05106982,0.00567242,-0.000322973,-0.01083524,0.6965719
19.8,0.2,0.08944203,-0.02052532,-0.08429247,0.005418367,-0.0007198863,-0.009858833,0.9169318
20.0,0.2,0.07703842,-0.006459763,-0.117616,0.005037312,-0.001087313,-0.008592099,1.182537
20.2,0.2,0.06265429,0.007531908,-0.1501556,0.004524636,-0.001413716,-0.007060543,1.399958
20.4,0.2,0.04662459,0.02097851,-0.1809553,0.003878003,-0.001689851,-0.005297655,1.476348
20.6,0.2,0.02932014,0.03345277,-0.209005,0.003097805,-0.001909108,-0.003344226,1.364349
20.8,0.2,0.01114231,0.04459139,-0.2332656,0.002187944,-0.002067558,-0.00124776,1.085439
21.0,0.2,-0.007482616,0.05411241,-0.2527072,0.001157069,-0.002163697,0.0009381766,0.7203544
21.2,0.2,-0.0261106,0.06182822,-0.2663611,2.009902e-05,-0.002197938,0.003154885,0.3716177
21.4,0.2,-0.04428948,0.06765212,-0.273382,-0.00120031,-0.002172015,0.005339991,0.1167542
21.6,0.2,-0.0615711,0.07159637,-0.2731137,-0.002472867,-0.002088471,0.007429498,-0.02522722
21.8,0.2,-0.07752504,0.07376046,-0.2651481,-0.003757767,-0.001950387,0.009360376,-0.09870385
22.0,0.2,-0.09175232,0.07431032,-0.2493681,-0.005008115,-0.001761408,0.01107339,-0.1865376
22.2,0.2,-0.1038973,0.0734513,-0.2259686,-0.006172595,-0.00152603,0.01251584,-0.3682709
22.4,0.2,-0.1136565,0.07139907,-0.1954536,-0.007199061,-0.001249977,0.01364377,-0.6812586
22.6,0.2,-0.1207841,0.06835352,-0.1586119,-0.008038459,-0.0009405076,0.01442345,-1.101741
22.8,0.2,-0.1250943,0.06447973,-0.1164757,-0.008648489,-0.0006064564,0.01483209,-1.552462
23.0,0.2,-0.1264621,0.05989814,-0.07026978,-0.008996479,-0.0002579525,0.0148578,-1.931142
23.2,0.2,-0.1248233,0.05468364,-0.02135574,-0.009061231,9.41625e-05,0.01449915,-2.145912
23.4,0.2,-0.1201758,0.04887144,0.02882525,-0.00883382,0.0004390792,0.0137645,-2.142908
23.6,0.2,-0.1125803,0.04246621,0.07880887,-0.008317564,0.0007667494,0.01267127,-1.917019
