t  [s],Delta_t  [s],z_wf  [m],phi_wf  [rad],theta_wf  [rad],zeta  [m]
18.8,0.2,-0.1024575,-0.02411313,0.01718893,-0.4513624
19.0,0.2,-0.1748206,-0.02139909,0.01606253,-0.400279
19.2,0.2,-0.2442666,-0.01821845,0.01477028,-0.303474
19.4,0.2,-0.3095983,-0.01460145,0.0133358,-0.1896594
19.6,0.2,-0.3694435,-0.01060227,0.01177508,-0.09211051
19.8,0.2,-0.4222988,-0.006301385,0.0100977,-0.04018293
20.0,0.2,-0.4666057,-0.001805196,0.008308968,-0.05206152
20.2,0.2,-0.5008541,0.002757787,0.006412952,-0.1308401
20.4,0.2,-0.5237054,0.007243993,0.004415986,-0.2648541
20.6,0.2,-0.5341211,0.0115046,0.002330211,-0.4317722
20.8,0.2,-0.5314819,0.01539693,0.0001766307,-0.6048093
21.0,0.2,-0.5156823,0.018796,-0.002012838,-0.7589517
21.2,0.2,-0.4871877,0.02160455,-0.004194773,-0.8753817
21.4,0.2,-0.4470451,0.02376015,-0.006315362,-0.9431914
21.6,0.2,-0.3968443,0.02523836,-0.008313247,-0.9585671
21.8,0.2,-0.3386331,0.02605168,-0.01012379,-0.9224867
22.0,0.2,-0.2747948,0.02624443,-0.01168424,-0.8382925
22.2,0.2,-0.2078994,0.02588466,-0.01293901,-0.7102253
22.4,0.2,-0.1405466,0.02505445,-0.01384438,-0.5433288
22.6,0.2,-0.07521258,0.02383995,-0.01437188,-0.3443755
22.8,0.2,-0.01411804,0.02232284,-0.01450999,-0.1229724
23.0,0.2,0.0408734,0.02057393,-0.01426403,0.1080363
23.2,0.2,0.08831898,0.01864971,-0.01365445,0.3333684
23.4,0.2,0.1272214,0.01659164,-0.01271392,0.5371839
23.6,0.2,0.1570175,0.01442777,-0.01148386,0.7053907
23.8,0.2,0.1775384,0.01217611,-0.01001092,0.8275003
24.0,0.2,0.1889502,0.009848769,-0.008343789,0.8973633
24.2,0.2,0.1916874,0.007456258,-0.006530802,0.912641
24.4,0.2,0.1863859,0.005011485,-0.004618233,0.873475
24.6,0.2,0.173825,0.002533017,-0.002649425,0.7812189
24.8,0.2,0.1548813,4.752325e-05,-0.0006645969,0.6380933
25.0,0.2,0.1304964,-0.002408742,0.001298762,0.4482001
25.2,0.2,0.1016579,-0.004789541,0.003205043,0.2196336
25.4,0.2,0.06939117,-0.007039482,0.005019333,-0.03324414
25.6,0.2,0.03475902,-0.009096245,0.006706098,-0.2886461
25.8,0.2,-0.001132634,-0.01089422,0.008227967,-0.5184487
26.0,0.2,-0.03712767,-0.01236945,0.009544939,-0.69199
