t  [s],Delta_t  [s],z_wf  [m],phi_wf  [rad],theta_wf  [rad],zeta  [m]
376.8,0.2,-0.08849888,-0.01369562,0.01554336,0.2023194
377.0,0.2,-0.150757,-0.0126535,0.0162838,0.1128855
377.2,0.2,-0.206994,-0.01132857,0.01651593,0.000251392
377.4,0.2,-0.2553598,-0.009789544,0.01623462,-0.1366679
377.6,0.2,-0.2943807,-0.008104761,0.01545506,-0.2975922
377.8,0.2,-0.3230172,-0.006338394,0.01421136,-0.4777601
378.0,0.2,-0.340689,-0.004548052,0.01255434,-0.6652206
378.2,0.2,-0.3472709,-0.002783637,0.01054868,-0.840075
378.4,0.2,-0.3430624,-0.001087061,0.008269687,-0.9766523
378.6,0.2,-0.3287397,0.0005076373,0.00579985,-1.048556
378.8,0.2,-0.3052947,0.001974178,0.003225252,-1.03535
379.0,0.2,-0.2739664,0.00329413,0.0006320603,-0.9288476
379.2,0.2,-0.2361688,0.004457148,-0.001896876,-0.7368317
379.4,0.2,-0.1934166,0.005461094,-0.004285212,-0.4827303
379.6,0.2,-0.1472516,0.006311677,-0.006465943,-0.2010376
379.8,0.2,-0.09916969,0.00702128,-0.008383762,0.07031916
380.0,0.2,-0.05055343,0.007606785,-0.009996806,0.2984222
380.2,0.2,-0.002613163,0.008086459,-0.01127765,0.4620952
380.4,0.2,0.04365897,0.008476233,-0.01221346,0.5549972
380.6,0.2,0.08751674,0.008785875,-0.01280529,0.5844003
380.8,0.2,0.1284657,0.00901576,-0.01306646,0.5664351
381.0,0.2,0.1662447,0.009154844,-0.01302026,0.5197195
381.2,0.2,0.2007837,0.009180398,-0.01269706,0.4596946
381.4,0.2,0.2321402,0.009059744,-0.01213117,0.3955358
381.6,0.2,0.2604212,0.008753953,-0.01135766,0.3303791
381.8,0.2,0.285699,0.008223088,-0.01040961,0.2642481
382.0,0.2,0.3079316,0.007432329,-0.009315923,0.1980207
382.2,0.2,0.3268975,0.006358088,-0.008100076,0.136432
382.4,0.2,0.3421566,0.004993226,-0.006779769,0.08860667
382.6,0.2,0.3530414,0.003350627,-0.005367564,0.06573201
382.8,0.2,0.3586832,0.001464618,-0.003872304,0.07676483
383.0,0.2,0.358071,-0.0006098729,-0.002301073,0.1239841
383.2,0.2,0.3501367,-0.002800218,-0.0006613879,0.2003792
383.4,0.2,0.3338586,-0.005020564,0.001036688,0.2902133
383.6,0.2,0.3083708,-0.007177266,0.002778784,0.372873
383.8,0.2,0.2730694,-0.009174671,0.004544999,0.4287931
384.0,0.2,0.227705,-0.01092079,0.006309315,0.4453566
384.2,0.2,0.1724549,-0.01233256,0.008039673,0.4205806
384.4,0.2,0.1079687,-0.01334048,0.009698648,0.3631605
384.6,0.2,0.0353866,-0.01389261,0.01124463,0.2887719
384.8,0.2,-0.04367343,-0.0139577,0.01263341,0.213918
385.0,0.2,-0.1271581,-0.01352731,0.01382002,0.1495303
385.2,0.2,-0.2126505,-0.01261656,0.01476074,0.09663479
385.4,0.2,-0.2974681,-0.01126326,0.01541509,0.04566025
385.6,0.2,-0.3787823,-0.009525255,0.01574775,-0.02032869
385.8,0.2,-0.4537521,-0.007475985,0.01573027,-0.1195585
386.0,0.2,-0.5196633,-0.00519887,0.0153425,-0.2646715
386.2,0.2,-0.574061,-0.002781005,0.01457364,-0.4573018
386.4,0.2,-0.6148663,-0.0003071367,0.01342301,-0.6858024
386.6,0.2,-0.6404665,0.002145308,0.01190038,-0.9267339
386.8,0.2,-0.6497741,0.004509574,0.01002601,-1.14953
387.0,0.2,-0.6422524,0.00673109,0.007830445,-1.322856
387.2,0.2,-0.6179095,0.008767316,0.005354018,-1.420857
387.4,0.2,-0.5772668,0.01058638,0.002646101,-1.42778
387.6,0.2,-0.5213098,0.01216506,-0.0002358453,-1.340133
387.8,0.2,-0.4514274,0.01348671,-0.003227489,-1.166341
388.0,0.2,-0.3693456,0.01453927,-0.006259084,-0.9244288
388.2,0.2,-0.2770605,0.01531361,-0.00925715,-0.6385729
388.4,0.2,-0.1767717,0.01580212,-0.01214632,-0.3352676
388.6,0.2,-0.07081735,0.01599741,-0.01485125,-0.03968696
388.8,0.2,0.03838691,0.01589106,-0.01729858,0.2274044
389.0,0.2,0.1484044,0.01547289,-0.01941871,0.4519293
389.2,0.2,0.2568258,0.01473079,-0.02114751,0.627711
389.4,0.2,0.3613075,0.01365169,-0.02242777,0.7563734
389.6,0.2,0.459599,0.01222389,-0.0232106,0.8458033
389.8,0.2,0.5495611,0.01044064,-0.02345664,0.9073404
390.0,0.2,0.6291784,0.008304628,-0.02313738,0.9522559
390.2,0.2,0.6965731,0.005832487,-0.0222364,0.9884315
390.4,0.2,0.7500271,0.003058522,-0.02075075,1.018255
390.6,0.2,0.7880154,3.668208e-05,-0.01869232,1.038483
390.8,0.2,0.8092557,-0.003159761,-0.016089,1.042223
391.0,0.2,0.8127684,-0.006440956,-0.01298566,1.022406
391.2,0.2,0.7979424,-0.009705293,-0.009444505,0.9754816
391.4,0.2,0.7645969,-0.01284558,-0.005544781,0.9038786
391.6,0.2,0.7130302,-0.01575569,-0.001381608,0.8160944
391.8,0.2,0.6440468,-0.01833676,0.002936153,0.7241584
392.0,0.2,0.5589599,-0.02050244,0.007289005,0.639236
392.2,0.2,0.459568,-0.02218261,0.01155081,0.5669795
392.4,0.2,0.3481083,-0.02332572,0.01559355,0.5044895
392.6,0.2,0.2271904,-0.02389972,0.01929255,0.440285
392.8,0.2,0.09971697,-0.02389181,0.02253197,0.3576179
393.0,0.2,-0.03120727,-0.02330716,0.02521008,0.2401829
393.2,0.2,-0.162372,-0.02216685,0.02724405,0.07826868
393.4,0.2,-0.2905617,-0.02050514,0.02857362,-0.1269096
393.6,0.2,-0.4126561,-0.01836646,0.02916365,-0.3623903
393.8,0.2,-0.5257245,-0.01580248,0.02900487,-0.6065881
394.0,0.2,-0.6271109,-0.01286965,0.02811307,-0.8353008
394.2,0.2,-0.7145025,-0.009627766,0.02652671,-1.02842
394.4,0.2,-0.7859796,-0.006139649,0.02430332,-1.174869
394.6,0.2,-0.8400459,-0.002471886,0.0215152,-1.273975
394.8,0.2,-0.8756409,0.001303851,0.01824505,-1.332883
395.0,0.2,-0.8921398,0.005109654,0.01458203,-1.361182
395.2,0.2,-0.8893471,0.008861226,0.01061875,-1.365062
395.4,0.2,-0.8674874,0.01246937,0.006449165,-1.343507
395.6,0.2,-0.8271962,0.01584336,0.002167504,-1.288266
395.8,0.2,-0.7695104,0.01889587,-0.002132331,-1.187784
396.0,0.2,-0.6958508,0.02154865,-0.006357192,-1.033632
396.2,0.2,-0.6079953,0.02373767,-0.01041545,-0.8268201
396.4,0.2,-0.5080343,0.02541679,-0.01421842,-0.5812507
396.6,0.2,-0.3983098,0.02655888,-0.01768241,-0.3225432
396.8,0.2,-0.2813383,0.02715441,-0.0207314,-0.08218012
397.0,0.2,-0.1597264,0.02720775,-0.02329983,0.1112474
397.2,0.2,-0.03608645,0.0267324,-0.02533508,0.2407162
397.4,0.2,0.08703805,0.02574624,-0.02679925,0.3062712
397.6,0.2,0.2072299,0.02426829,-0.02766994,0.325278
397.8,0.2,0.3222358,0.02231751,-0.0279399,0.3271674
398.0,0.2,0.4299853,0.0199141,-0.02761578,0.344332
398.2,0.2,0.5285954,0.01708274,-0.02671633,0.4021881
398.4,0.2,0.616369,0.01385684,-0.02527043,0.511683
398.6,0.2,0.6917928,0.01028257,-0.02331536,0.6666249
398.8,0.2,0.7535432,0.006421687,-0.02089566,0.8464587
399.0,0.2,0.8005008,0.002352239,-0.01806261,1.023185
399.2,0.2,0.8317762,-0.001832951,-0.01487419,1.169742
399.4,0.2,0.8467439,-0.006029938,-0.01139526,1.26687
399.6,0.2,0.8450799,-0.01012877,-0.007697681,1.306326
399.8,0.2,0.826798,-0.01401936,-0.003859831,1.289915
400.0,0.2,0.7922785,-0.0175973,3.44835e-05,1.225507
400.2,0.2,0.7422845,-0.02076913,0.003897942,1.122263
400.4,0.2,0.6779611,-0.02345663,0.00764228,0.987359
400.6,0.2,0.6008146,-0.0255999,0.0111813,0.8255421
400.8,0.2,0.5126712,-0.02715922,0.01443401,0.6413691
401.0,0.2,0.4156161,-0.02811569,0.01732764,0.4425694
401.2,0.2,0.3119174,-0.02847054,0.01980021,0.2423234
401.4,0.2,0.2039395,-0.02824337,0.02180263,0.05862526
401.6,0.2,0.09405458,-0.02746925,0.02330014,-0.08981191
401.8,0.2,-0.01544218,-0.02619498,0.02427311,-0.1899703
402.0,0.2,-0.1224053,-0.02447496,0.02471722,-0.2407876
402.2,0.2,-0.2248959,-0.02236688,0.02464301,-0.2563936
402.4,0.2,-0.3212195,-0.01992795,0.0240747,-0.2642588
402.6,0.2,-0.4099443,-0.01721191,0.02304843,-0.2979572
402.8,0.2,-0.4899028,-0.01426721,0.02160984,-0.3863576
403.0,0.2,-0.5601771,-0.01113641,0.01981127,-0.5427026
403.2,0.2,-0.6200741,-0.007856752,0.0177087,-0.7575221
403.4,0.2,-0.6690915,-0.004461726,0.01535882,-0.998368
403.6,0.2,-0.7068789,-0.0009832944,0.01281647,-1.217184
403.8,0.2,-0.7331983,0.002545534,0.01013285,-1.363472
404.0,0.2,-0.7478871,0.006088074,0.007354485,-1.39926
404.2,0.2,-0.750829,0.0096016,0.004523104,-1.31104
404.4,0.2,-0.7419386,0.01303552,0.001676223,-1.11471
404.6,0.2,-0.721162,0.01633039,-0.001151823,-0.8517955
404.8,0.2,-0.688498,0.01941804,-0.003928646,-0.5780652
405.0,0.2,-0.6440381,0.02222305,-0.006622661,-0.3481313
405.2,0.2,-0.5880203,0.02466573,-0.009202181,-0.2008007
405.4,0.2,-0.520891,0.02666642,-0.01163483,-0.1495937
405.6,0.2,-0.4433642,0.02815103,-0.01388727,-0.1810468
405.8,0.2,-0.3564689,0.02905697,-0.01592521,-0.2608542
406.0,0.2,-0.2615744,0.02933899,-0.01771368,-0.3454356
406.2,0.2,-0.160389,0.02897381,-0.01921761,-0.3949512
406.4,0.2,-0.05492785,0.02796305,-0.02040272,-0.3836221
406.6,0.2,0.05254617,0.02633367,-0.02123693,-0.3044458
406.8,0.2,0.1596048,0.024136,-0.02169208,-0.1675328
407.0,0.2,0.2637512,0.02143947,-0.021746,0.006480152
407.2,0.2,0.3625221,0.01832678,-0.02138465,0.1949613
407.4,0.2,0.4535868,0.01488747,-0.02060394,0.3804791
407.6,0.2,0.5348337,0.01121181,-0.01941102,0.5542886
407.8,0.2,0.6044412,0.00738591,-0.01782469,0.7154284
408.0,0.2,0.6609271,0.003488687,-0.01587494,0.8665099
408.2,0.2,0.7031772,-0.0004091958,-0.01360168,1.008449
408.4,0.2,0.730455,-0.004244597,-0.01105283,1.136584
408.6,0.2,0.7423942,-0.007959948,-0.008282377,1.239833
408.8,0.2,0.7389811,-0.01150081,-0.005348334,1.303189
409.0,0.2,0.7205291,-0.01481375,-0.00231117,1.31243
409.2,0.2,0.6876535,-0.017845,0.0007674671,1.259108
409.4,0.2,0.6412465,-0.0205405,0.003825714,1.143833
409.6,0.2,0.582458,-0.02284708,0.006802329,0.9766328
409.8,0.2,0.5126777,-0.02471481,0.009637568,0.7743894
410.0,0.2,0.4335193,-0.02609988,0.01227418,0.5564489
410.2,0.2,0.3467998,-0.02696771,0.01465849,0.3401164
410.4,0.2,0.2545117,-0.02729567,0.01674152,0.1376365
410.6,0.2,0.158782,-0.02707511,0.01847991,-0.04448604
410.8,0.2,0.06181942,-0.02631248,0.01983659,-0.2039889
411.0,0.2,-0.03415087,-0.02502941,0.02078127,-0.3402269
411.2,0.2,-0.1269592,-0.02326179,0.02129071,-0.4518522
411.4,0.2,-0.2145643,-0.02105806,0.02134913,-0.5359892
411.6,0.2,-0.2951195,-0.01847682,0.02094887,-0.5893318
411.8,0.2,-0.3670271,-0.01558402,0.0200914,-0.6106554
412.0,0.2,-0.4289761,-0.01245003,0.01878872,-0.6035048
412.2,0.2,-0.4799637,-0.009146867,0.0170647,-0.5776156
412.4,0.2,-0.5193004,-0.00574577,0.01495622,-0.548034
412.6,0.2,-0.5466046,-0.002315425,0.01251347,-0.5317767
412.8,0.2,-0.5617882,0.001079138,0.009799194,-0.5428769
413.0,0.2,-0.565039,0.004376987,0.006886742,-0.5874096
413.2,0.2,-0.5567998,0.007521285,0.003857031,-0.660281
413.4,0.2,-0.5377459,0.01045914,0.0007947599,-0.7451142
413.6,0.2,-0.5087594,0.01314166,-0.0022156,-0.817597
413.8,0.2,-0.4709003,0.01552448,-0.005093555,-0.8515247
414.0,0.2,-0.4253723,0.01756891,-0.007765703,-0.825846
414.2,0.2,-0.3734849,0.01924349,-0.01016802,-0.7306448
414.4,0.2,-0.3166122,0.02052571,-0.01224738,-0.5702796
414.6,0.2,-0.2561515,0.02140329,-0.01396247,-0.3627636
414.8,0.2,-0.1934826,0.02187465,-0.01528435,-0.1356033
415.0,0.2,-0.1299313,0.02194816,-0.01619682,0.08065851
415.2,0.2,-0.06673816,0.02164024,-0.0166966,0.259344
415.4,0.2,-0.005034211,0.02097254,-0.01679326,0.3831219
415.6,0.2,0.05417582,0.01996908,-0.01650854,0.4467431
415.8,0.2,0.1100213,0.01865376,-0.01587507,0.4565869
416.0,0.2,0.1617645,0.01704932,-0.01493414,0.4275055
416.2,0.2,0.2087914,0.01517778,-0.01373283,0.3781432
416.4,0.2,0.2505949,0.01306251,-0.01232079,0.3261847
416.6,0.2,0.2867551,0.01073131,-0.01074694,0.2847976
416.8,0.2,0.3169195,0.008219546,-0.009056826,0.2609957
417.0,0.2,0.3407886,0.005572486,-0.007290947,0.2559688
417.2,0.2,0.3581114,0.002845827,-0.005484147,0.2668182
417.4,0.2,0.3686909,0.0001040719,-0.003666162,0.2888041
417.6,0.2,0.3724025,-0.002583201,-0.001862936,0.3172189
417.8,0.2,0.3692177,-0.005146537,-9.827749e-05,0.3483109
418.0,0.2,0.3592305,-0.007522279,0.001604646,0.3791609
418.2,0.2,0.3426781,-0.009657609,0.003222354,0.4068726
418.4,0.2,0.3199491,-0.01151401,0.004730886,0.4277058
418.6,0.2,0.2915769,-0.01306859,0.00610642,0.4367793
418.8,0.2,0.2582177,-0.01431323,0.007326517,0.4286921
419.0,0.2,0.2206161,-0.01525197,0.008371685,0.3989823
419.2,0.2,0.179565,-0.01589732,0.009226942,0.3459153
419.4,0.2,0.1358671,-0.01626645,0.009883083,0.2718515
419.6,0.2,0.09030418,-0.01637774,0.01033744,0.183487
419.8,0.2,0.04361818,-0.01624842,0.010594,0.09061192
420.0,0.2,-0.003494102,-0.01589315,0.01066299,0.003568436
420.2,0.2,-0.05037543,-0.01532354,0.01055973,-0.06986057
420.4,0.2,-0.09639485,-0.01454826,0.01030318,-0.1270606
420.6,0.2,-0.1409313,-0.01357348,0.009914032,-0.1716441
420.8,0.2,-0.1833581,-0.01240343,0.009412657,-0.2123355
421.0,0.2,-0.2230298,-0.01104114,0.008817068,-0.2597783
421.2,0.2,-0.2592736,-0.009489411,0.008141083,-0.3221486
421.4,0.2,-0.2913844,-0.007752328,0.007392951,-0.4010276
421.6,0.2,-0.3186232,-0.005837317,0.006574642,-0.4890963
421.8,0.2,-0.3402203,-0.003757811,0.005681981,-0.5707754
422.0,0.2,-0.3553855,-0.001536165,0.004705708,-0.626021
422.2,0.2,-0.3633269,0.0007936606,0.003633428,-0.6363871
422.4,0.2,-0.363283,0.003184306,0.002452308,-0.5915493
422.6,0.2,-0.3545694,0.005574744,0.001152246,-0.4941019
422.8,0.2,-0.3366384,0.007892018,-0.000270844,-0.3607833
423.0,0.2,-0.3091504,0.01005513,-0.001812021,-0.2193007
423.2,0.2,-0.2720467,0.01198086,-0.003454992,-0.1013181
423.4,0.2,-0.2256166,0.01359074,-0.005170797,-0.03348729
423.6,0.2,-0.1705477,0.01481838,-0.006917751,-0.02919131
423.8,0.2,-0.1079484,0.0156157,-0.008642745,-0.0836289
424.0,0.2,-0.03933886,0.01595728,-0.01028385,-0.1739679
424.2,0.2,0.03339549,0.01584188,-0.01177402,-0.2647893
424.4,0.2,0.1080813,0.01529088,-0.01304552,-0.3174011
424.6,0.2,0.1823609,0.01434406,-0.0140346,-0.3003579
424.8,0.2,0.2538092,0.01305347,-0.01468598,-0.1980996
425.0,0.2,0.3200533,0.0114767,-0.01495653,-0.01518048
425.2,0.2,0.3788804,0.009670762,-0.01481791,0.2250717
425.4,0.2,0.4283279,0.00768774,-0.01425781,0.4868996
425.6,0.2,0.4667479,0.005572836,-0.01327991,0.7313866
425.8,0.2,0.4928467,0.003364824,-0.01190264,0.9257811
426.0,0.2,0.5057021,0.00109845,-0.01015724,1.050172
426.2,0.2,0.5047654,-0.001192121,-0.008085306,1.099829
426.4,0.2,0.4898529,-0.003469862,-0.005736566,1.083029
426.6,0.2,0.4611354,-0.005692308,-0.003166931,1.015601
426.8,0.2,0.4191284,-0.007810467,-0.0004371561,0.9143663
427.0,0.2,0.3646842,-0.009769325,0.002387981,0.7917419
427.2,0.2,0.2989852,-0.01150976,0.00524014,0.6531545
427.4,0.2,0.2235353,-0.01297143,0.008047792,0.4977986
427.6,0.2,0.1401449,-0.01409606,0.0107368,0.3220714
427.8,0.2,0.05090735,-0.01483095,0.01323146,0.1241597
428.0,0.2,-0.04183663,-0.01513223,0.01545603,-0.09202691
428.2,0.2,-0.1355471,-0.01496809,0.01733685,-0.3150458
428.4,0.2,-0.2275461,-0.01432176,0.01880489,-0.5269075
428.6,0.2,-0.3150916,-0.01319435,0.01979845,-0.7065884
428.8,0.2,-0.3954628,-0.01160712,0.02026604,-0.8350116
429.0,0.2,-0.4660551,-0.009602892,0.02016901,-0.9000312
429.2,0.2,-0.5244823,-0.007245975,0.01948404,-0.9000025
429.4,0.2,-0.5686823,-0.004620266,0.01820533,-0.8449445
429.6,0.2,-0.5970194,-0.001825287,0.01634645,-0.7549378
429.8,0.2,-0.6083761,0.001029601,0.01394164,-0.6560705
430.0,0.2,-0.6022265,0.003832216,0.01104659,-0.5747847
430.2,0.2,-0.5786823,0.006474921,0.007738366,-0.5318232
430.4,0.2,-0.5385068,0.008861345,0.004114243,-0.5370812
430.6,0.2,-0.4830925,0.01091161,0.000289275,-0.5865463
430.8,0.2,-0.4144044,0.01256551,-0.003607535,-0.6621646
431.0,0.2,-0.3348932,0.01378359,-0.007438419,-0.7349342
431.2,0.2,-0.247385,0.01454636,-0.01106315,-0.7708488
431.4,0.2,-0.1549558,0.01485221,-0.01434607,-0.738606
431.6,0.2,-0.06079914,0.01471474,-0.01716323,-0.6174188
431.8,0.2,0.03190721,0.0141601,-0.01940905,-0.4030216
432.0,0.2,0.1201288,0.01322455,-0.02100193,-0.110189
432.2,0.2,0.2010935,0.01195256,-0.02188819,0.2291689
432.4,0.2,0.2723972,0.01039515,-0.02204427,0.5721556
432.6,0.2,0.3320926,0.008608478,-0.02147696,0.8738984
432.8,0.2,0.378757,0.006652257,-0.0202219,1.097139
433.0,0.2,0.4115356,0.004588167,-0.01834069,1.219846
433.2,0.2,0.4301567,0.002478088,-0.01591698,1.238793
433.4,0.2,0.4349187,0.0003823369,-0.01305198,1.168192
433.6,0.2,0.4266507,-0.001642005,-0.009859778,1.033963
433.8,0.2,0.4066498,-0.003542601,-0.006462557,0.8655444
434.0,0.2,0.3766011,-0.005273205,-0.002986034,0.6878584
434.2,0.2,0.3384871,-0.006794859,0.0004450027,0.5159436
434.4,0.2,0.2944913,-0.008076971,0.003710965,0.3537896
434.6,0.2,0.2469005,-0.009098237,0.006701574,0.1974365
434.8,0.2,0.1980083,-0.009847298,0.009319715,0.04089546
435.0,0.2,0.1500222,-0.01032297,0.01148491,-0.1175447
435.2,0.2,0.1049736,-0.0105339,0.01313618,-0.271178
435.4,0.2,0.06463512,-0.01049749,0.01423415,-0.404642
435.6,0.2,0.0304464,-0.01023826,0.01476208,-0.4978334
435.8,0.2,0.003453344,-0.009785606,0.01472589,-0.5326397
436.0,0.2,-0.01573382,-0.009171522,0.01415309,-0.5000153
436.2,0.2,-0.0269598,-0.008428404,0.01309077,-0.4047033
436.4,0.2,-0.03051759,-0.007587441,0.01160293,-0.2656727
436.6,0.2,-0.02711589,-0.006677704,0.009767367,-0.111836
436.8,0.2,-0.01784744,-0.005725291,0.007670908,0.02570162
437.0,0.2,-0.004037373,-0.004755091,0.005410164,0.1223433
437.2,0.2,0.01276953,-0.003791249,0.00308474,0.1667586
437.4,0.2,0.03091072,-0.002857408,0.0007945964,0.1634455
437.6,0.2,0.04869573,-0.001976897,-0.001362877,0.1302837
437.8,0.2,0.06448249,-0.001172148,-0.003296092,0.09197623
438.0,0.2,0.07674252,-0.0004633495,-0.004922558,0.07165299
438.2,0.2,0.08411456,0.0001335336,-0.006172202,0.08345618
438.4,0.2,0.08544826,0.0006090742,-0.00699061,0.128482
438.6,0.2,0.07984045,0.0009625973,-0.007341996,0.1951931
438.8,0.2,0.06666669,0.00120379,-0.007211649,0.2638334
439.0,0.2,0.04561009,0.001353233,-0.006607601,0.3130502
439.2,0.2,0.01668775,0.001441522,-0.005561241,0.3263261
439.4,0.2,-0.01972667,0.001506843,-0.004126693,0.2961192
439.6,0.2,-0.06288789,0.001591182,-0.002378843,0.2246344
439.8,0.2,-0.1116762,0.001735638,-0.0004100167,0.1214698
440.0,0.2,-0.1646125,0.001975523,0.001674534,-0.0005262387
440.2,0.2,-0.2198955,0.002336054,0.00376209,-0.1293825
440.4,0.2,-0.2754635,0.00282939,0.005738489,-0.2565908
440.6,0.2,-0.3290806,0.003453472,0.007494302,-0.3774759
440.8,0.2,-0.3784424,0.004192808,0.008930719,-0.4896969
441.0,0.2,-0.4212932,0.005020891,0.009964752,-0.5909951
441.2,0.2,-0.4555458,0.005903648,0.01053342,-0.6775053
441.4,0.2,-0.4793917,0.006803106,0.01059671,-0.743546
441.6,0.2,-0.4913928,0.007680552,0.01013918,-0.7830124
441.8,0.2,-0.4905484,0.008498711,0.009170165,-0.7916792
442.0,0.2,-0.4763343,0.009222823,0.007722802,-0.7692486
442.2,0.2,-0.4487153,0.009820888,0.005851792,-0.7200546
442.4,0.2,-0.4081356,0.01026357,0.003630301,-0.6519168
442.6,0.2,-0.3554919,0.01052431,0.001146112,-0.5734624
442.8,0.2,-0.2920944,0.01058003,-0.001502688,-0.4909494
443.0,0.2,-0.2196174,0.01041246,-0.00421227,-0.4058999
443.2,0.2,-0.1400414,0.01000981,-0.006877623,-0.3145874
443.4,0.2,-0.05558481,0.009368328,-0.009396909,-0.2097084
443.6,0.2,0.03137575,0.00849318,-0.01167543,-0.08370539
443.8,0.2,0.118395,0.007398268,-0.01362905,0.06744858
444.0,0.2,0.2030555,0.006105024,-0.01518698,0.2413914
444.2,0.2,0.2830648,0.004640456,-0.0162939,0.4284842
444.4,0.2,0.3563439,0.003035019,-0.01691136,0.6132147
444.6,0.2,0.4211007,0.001320887,-0.01701853,0.7774008
444.8,0.2,0.4758809,-0.0004689571,-0.01661244,0.9041244
445.0,0.2,0.5195961,-0.002300779,-0.01570766,0.9811858
445.2,0.2,0.5515296,-0.004139581,-0.01433552,1.00318
445.4,0.2,0.5713261,-0.005948595,-0.01254292,0.971871
445.6,0.2,0.5789717,-0.007689354,-0.01039071,0.8951449
445.8,0.2,0.5747684,-0.009322735,-0.007951503,0.7851519
446.0,0.2,0.5593065,-0.010811,-0.005307037,0.6562914
446.2,0.2,0.5334345,-0.01212043,-0.002544996,0.5234155
446.4,0.2,0.4982232,-0.01322395,0.0002445929,0.4002909
446.6,0.2,0.4549217,-0.01410292,0.002973219,0.2981408
446.8,0.2,0.4049032,-0.01474771,0.00555775,0.2241271
447.0,0.2,0.3496026,-0.01515671,0.007924006,0.1799085
447.2,0.2,0.2904506,-0.0153343,0.01000976,0.1607488
447.4,0.2,0.228811,-0.01528819,0.0117669,0.155821
447.6,0.2,0.1659294,-0.01502695,0.01316267,0.1501922
447.8,0.2,0.1028981,-0.01455843,0.01417984,0.1284407
448.0,0.2,0.04064119,-0.01388918,0.01481605,0.07914895
448.2,0.2,-0.02008178,-0.01302498,0.01508237,-0.00108371
448.4,0.2,-0.07865758,-0.01197188,0.01500132,-0.1056199
448.6,0.2,-0.1345913,-0.01073732,0.01460453,-0.2188233
448.8,0.2,-0.1874749,-0.00933076,0.01393033,-0.3202514
449.0,0.2,-0.2369559,-0.007763638,0.01302126,-0.3909165
449.2,0.2,-0.2827083,-0.006048785,0.01192164,-0.4196118
449.4,0.2,-0.3244074,-0.004199653,0.01067538,-0.4070469
449.6,0.2,-0.3617067,-0.002229866,0.009323939,-0.3661355
449.8,0.2,-0.3942192,-0.0001534982,0.007904596,-0.3180716
450.0,0.2,-0.4215027,0.002013772,0.006449039,-0.2853692
450.2,0.2,-0.4430531,0.004252774,0.0049824,-0.2842459
450.4,0.2,-0.4583083,0.006538644,0.003522776,-0.319105
450.6,0.2,-0.4666659,0.008838834,0.00208131,-0.3812061
450.8,0.2,-0.4675158,0.01111181,0.000662865,-0.4521143
451.0,0.2,-0.4602873,0.01330679,-0.0007326907,-0.5107072
451.2,0.2,-0.4445076,0.01536449,-0.002108651,-0.5411086
451.4,0.2,-0.4198662,0.01721895,-0.003469182,-0.5384749
451.6,0.2,-0.3862801,0.01880016,-0.004816743,-0.510321
451.8,0.2,-0.3439532,0.02003732,-0.006149441,-0.4727684
452.0,0.2,-0.2934249,0.02086273,-0.007458589,-0.4431097
452.2,0.2,-0.2356032,0.02121618,-0.008726768,-0.4316025
452.4,0.2,-0.1717788,0.0210499,-0.00992669,-0.4358269
452.6,0.2,-0.103617,0.02033361,-0.01102111,-0.4400539
452.8,0.2,-0.03312356,0.01905942,-0.011964,-0.4201817
453.0,0.2,0.03741634,0.01724571,-0.01270298,-0.3526128
453.2,0.2,0.1055285,0.01493922,-0.01318301,-0.2238132
453.4,0.2,0.1686667,0.01221474,-0.01335107,-0.03688036
453.6,0.2,0.2243527,0.009171781,-0.01316135,0.1875428
453.8,0.2,0.270328,0.005928614,-0.01258059,0.4165864
454.0,0.2,0.3047072,0.002614071,-0.01159271,0.6149151
454.2,0.2,0.326117,-0.0006416918,-0.0102024,0.7554202
454.4,0.2,0.3338078,-0.003716236,-0.008436965,0.8269363
454.6,0.2,0.3277296,-0.006502432,-0.006346529,0.8361776
454.8,0.2,0.3085449,-0.00891475,-0.004001538,0.8032656
455.0,0.2,0.2776073,-0.01089155,-0.001489483,0.7526362
455.2,0.2,0.2368902,-0.01239612,0.001090098,0.7028361
455.4,0.2,0.1888756,-0.01341572,0.003631246,0.6591167
455.6,0.2,0.1364123,-0.01395943,0.006027353,0.6116371
455.8,0.2,0.08255476,-0.01405556,0.008176605,0.5399481
456.0,0.2,0.03039379,-0.01374877,0.009986803,0.4220354
456.2,0.2,-0.01711222,-0.0130971,0.01137944,0.2444809
456.4,0.2,-0.05729574,-0.01216881,0.01229306,0.009905383
456.6,0.2,-0.08792099,-0.01103877,0.01268596,-0.2610902
456.8,0.2,-0.1073003,-0.009784513,0.01253827,-0.5341676
457.0,0.2,-0.1143798,-0.008481828,0.0118534,-0.7700702
457.2,0.2,-0.1087906,-0.00720049,0.01065863,-0.9347987
457.4,0.2,-0.09086178,-0.006000398,0.009004676,-1.007604
457.6,0.2,-0.06159618,-0.004928663,0.006964003,-0.9842927
457.8,0.2,-0.02260971,-0.004017924,0.004627864,-0.8752593
458.0,0.2,0.02396061,-0.003285974,0.002102078,-0.6996788
458.2,0.2,0.07557432,-0.002736535,-0.0004981351,-0.4785888
458.4,0.2,0.1294239,-0.002360848,-0.003053843,-0.2297184
458.6,0.2,0.1825826,-0.002139717,-0.005448163,0.03413472
458.8,0.2,0.2321553,-0.00204569,-0.007571683,0.3031087
459.0,0.2,0.2754266,-0.002045261,-0.009327239,0.5662606
